aircraft_id,tail_number,aircraft_type,category,home_base_id,status,commissioned_date,total_flight_hours,engine_service_interval_hours,airframe_inspection_interval_hours,avionics_check_interval_days
1,N101KB,King Air 350,fixed_wing,6,active,2021-10-02,4457.6,1500,3000,180
2,N102KB,King Air 350,fixed_wing,3,active,2020-04-03,2829.9,1500,3000,180
3,N103KB,King Air 350,fixed_wing,6,active,2021-11-08,4083.4,1500,3000,180
4,N104KB,King Air 350,fixed_wing,5,active,2022-01-10,3535.2,1500,3000,180
5,N105KB,King Air 350,fixed_wing,1,active,2022-09-01,4186.2,1500,3000,180
6,N106KB,King Air 350,fixed_wing,2,active,2017-05-03,6828.8,1500,3000,180
7,N107KB,King Air 350,fixed_wing,5,active,2020-10-09,3317.6,1500,3000,180
8,N108KB,King Air 350,fixed_wing,6,active,2016-11-21,4425.5,1500,3000,180
9,N109KB,King Air 350,fixed_wing,4,active,2016-05-24,7509.6,1500,3000,180
10,N110KB,King Air 350,fixed_wing,1,active,2014-06-29,3967.2,1500,3000,180
11,N111PC,PC-12,fixed_wing,6,active,2018-04-06,3918.9,1200,2400,180
12,N112PC,PC-12,fixed_wing,2,depot,2020-08-03,0.0,1200,2400,180
13,N113PC,PC-12,fixed_wing,3,active,2021-11-09,2971.5,1200,2400,180
14,N114PC,PC-12,fixed_wing,1,grounded,2018-12-23,0.0,1200,2400,180
15,N115PC,PC-12,fixed_wing,5,active,2020-01-14,3128.5,1200,2400,180
16,N116PC,PC-12,fixed_wing,6,active,2017-11-07,4323.2,1200,2400,180
17,N117PC,PC-12,fixed_wing,4,active,2022-02-13,7322.6,1200,2400,180
18,N118PC,PC-12,fixed_wing,6,grounded,2016-01-25,0.0,1200,2400,180
19,N119CJ,Citation CJ3,fixed_wing,3,active,2016-07-12,2807.0,1800,3500,180
20,N120CJ,Citation CJ3,fixed_wing,1,active,2022-06-28,4231.1,1800,3500,180
21,N121CJ,Citation CJ3,fixed_wing,3,grounded,2022-02-09,0.0,1800,3500,180
22,N122CJ,Citation CJ3,fixed_wing,1,active,2018-09-28,4081.4,1800,3500,180
23,N123CJ,Citation CJ3,fixed_wing,6,active,2018-11-29,4252.5,1800,3500,180
24,N124CJ,Citation CJ3,fixed_wing,3,active,2020-08-26,3061.4,1800,3500,180
25,N125BH,Bell 407,rotary,6,active,2015-05-04,7200.8,800,1500,120
26,N126BH,Bell 407,rotary,5,grounded,2015-11-19,3120.6,800,1500,120
27,N127BH,Bell 407,rotary,6,active,2020-04-04,4176.2,800,1500,120
28,N128BH,Bell 407,rotary,4,depot,2019-12-23,0.0,800,1500,120
29,N129BH,Bell 407,rotary,6,active,2015-04-15,4093.6,800,1500,120
30,N130BH,Bell 407,rotary,6,grounded,2019-05-14,0.0,800,1500,120
31,N131BH,Bell 407,rotary,1,grounded,2020-06-07,0.0,800,1500,120
32,N132BH,Bell 407,rotary,3,active,2018-07-03,2728.4,800,1500,120
33,N133BH,Bell 407,rotary,2,grounded,2016-08-22,0.0,800,1500,120
34,N134BH,Bell 407,rotary,3,active,2020-08-14,3011.9,800,1500,120
35,N135EC,EC135,rotary,4,active,2015-10-17,6988.6,600,1200,120
36,N136EC,EC135,rotary,3,active,2021-06-09,2928.9,600,1200,120
37,N137EC,EC135,rotary,5,active,2016-12-16,3243.8,600,1200,120
38,N138EC,EC135,rotary,5,grounded,2018-03-14,0.0,600,1200,120
39,N139EC,EC135,rotary,4,active,2018-12-11,7173.2,600,1200,120
40,N140EC,EC135,rotary,2,active,2017-04-15,7350.9,600,1200,120
41,N141EC,EC135,rotary,1,active,2021-10-09,3986.3,600,1200,120
42,N142EC,EC135,rotary,2,active,2014-02-13,6787.0,600,1200,120
43,N143AW,AW139,rotary,5,active,2022-04-16,3374.0,900,1800,120
44,N144AW,AW139,rotary,5,active,2017-10-02,3603.5,900,1800,120
45,N145AW,AW139,rotary,5,active,2022-11-15,3102.6,900,1800,120
46,N146AW,AW139,rotary,1,grounded,2015-05-11,0.0,900,1800,120
47,N147AW,AW139,rotary,3,active,2014-05-20,3235.8,900,1800,120
48,N148AW,AW139,rotary,1,active,2019-09-17,4132.8,900,1800,120
49,N149AW,AW139,rotary,4,depot,2022-12-19,0.0,900,1800,120
50,N150AW,AW139,rotary,6,depot,2020-01-19,0.0,900,1800,120
